PROVNUM,emp_hrs_nurse,ctr_hrs_nurse,total_hrs_nurse,emp_ctr_ratio_nurse,emp_hrs_non,ctr_hrs_non,total_hrs_non,emp_ctr_ratio_non,emp_hrs,ctr_hrs,total_hrs
345116,559.8361538461538,598.6992307692307,1158.5353846153844,0.9350874781095941,119.16769230769228,183.57076923076926,302.73846153846154,0.6491648578205007,679.0038461538461,782.27,1461.273846153846
345119,2165.371538461539,1349.576923076923,3514.9484615384617,1.6044817464162562,291.24230769230775,523.1961538461538,814.4384615384615,0.5566598789981696,2456.6138461538467,1872.773076923077,4329.386923076923
345123,1585.2115384615383,0.0,1585.2115384615383,inf,141.51923076923077,207.85230769230765,349.3715384615384,0.6808643711511134,1726.730769230769,207.85230769230765,1934.5830769230768
345124,2107.543846153846,0.0,2107.543846153846,inf,563.3007692307692,0.0,563.3007692307692,inf,2670.8446153846153,0.0,2670.8446153846153
345126,1591.309230769231,511.3446153846154,2102.653846153846,3.1120093629465604,360.67846153846153,47.53307692307692,408.21153846153845,7.587946854821744,1951.9876923076924,558.8776923076923,2510.8653846153848
345127,1738.846153846154,0.0,1738.846153846154,inf,195.98076923076923,133.02769230769232,329.0084615384616,1.473232872276449,1934.8269230769233,133.02769230769232,2067.8546153846155
345128,1022.5907692307691,912.5384615384614,1935.1292307692306,1.1206001854505605,129.61384615384617,235.48076923076923,365.0946153846154,0.5504222131482238,1152.2046153846152,1148.0192307692307,2300.223846153846
345129,1779.019230769231,87.3,1866.319230769231,20.378227156577676,167.01923076923077,314.06,481.0792307692308,0.5318067591200114,1946.0384615384617,401.36,2347.3984615384616
345130,1150.142307692308,44.394615384615385,1194.5369230769234,25.907247933741104,98.31307692307693,164.62461538461537,262.9376923076923,0.5971954843653628,1248.455384615385,209.01923076923075,1457.4746153846156
345131,757.8015384615385,1118.3630769230772,1876.1646153846157,0.6775988532690634,148.2246153846154,190.11384615384614,338.3384615384615,0.7796623885283313,906.0261538461539,1308.4769230769234,2214.503076923077
345132,1168.8415384615384,498.46153846153845,1667.3030769230768,2.344898148148148,139.21846153846153,203.0,342.2184615384615,0.6858052292535051,1308.06,701.4615384615385,2009.5215384615385
345133,1571.0553846153846,217.6307692307692,1788.6861538461537,7.218902870069278,172.97384615384615,258.7053846153847,431.6792307692308,0.668613242863132,1744.0292307692307,476.3361538461539,2220.3653846153848
345134,798.2323076923076,763.3292307692309,1561.5615384615385,1.0457248006707456,149.02076923076925,164.33000000000004,313.3507692307693,0.9068384910288396,947.2530769230768,927.6592307692309,1874.9123076923079
345137,2132.248461538461,175.5876923076923,2307.836153846153,12.143496127291204,133.16538461538462,468.9923076923077,602.1576923076923,0.2839393790286867,2265.4138461538455,644.5799999999999,2909.9938461538454
345138,1778.2307692307693,5.682307692307693,1783.913076923077,312.94165425747934,160.4423076923077,234.95153846153852,395.3938461538462,0.682874046038954,1938.673076923077,240.6338461538462,2179.3069230769233
345140,471.69615384615383,244.88461538461533,716.5807692307692,1.9261975812784675,163.33615384615385,19.943076923076923,183.27923076923076,8.190118028234206,635.0323076923077,264.82769230769225,899.8599999999999
345142,2320.7815384615387,541.8269230769231,2862.6084615384616,4.283252528837623,309.1615384615385,315.5107692307692,624.6723076923076,0.9798763421460687,2629.943076923077,857.3376923076924,3487.2807692307697
345143,2351.8438461538453,387.7561538461539,2739.5999999999995,6.0652650456373225,367.8738461538462,37.4623076923077,405.33615384615393,9.819839428348494,2719.7176923076913,425.2184615384616,3144.936153846153
